C¢digo,Concepto,Unidad,Fecha,Cantidad,Precio,Importe,% Incidencia
EQ0024,ANDAMIO TUBULAR DE 2.0 m. DE,JOR,20/09/2021,43.619461,$12.50,$545.24,0.00%
,ALTURA,,,,,,
EQ0054,CAMION DE REDILAS DE 3 TON.,HORA,24/01/2022,1.022338,$564.73,$577.34,0.01%
,DE CAPACIDAD MCA. DODGE,,,,,,
,MOD. RAM 4000,,,,,,
EQ0158,VIBRADOR STOW AW 1680 DE 8,HORA,24/01/2022,271.923165,$144.33,"$39,246.67",0.36%
,"HP, FLECHA FLEXIBLE DE 20 ft",,,,,,
,CON OPERADOR,,,,,,
EQ0550,GRUA HIDRAULICA DE 22 TON.,HORA,24/01/2022,4.455708,"$1,612.95","$7,186.83",0.07%
,"DE CAP. SOBRE NEUMATICOS,",,,,,,
,MARCA GROVE,,,,,,
EQ0600,SOLDADORA LINCOLN SAE 300,HORA,20/09/2021,128.573161,$184.55,"$23,728.18",0.22%
,AMP K1277 DE 60 HP MOT.,,,,,,
,"PERKINS 4236, 4 CIL, 1600 RPM",,,,,,
,(SIN OPERADOR),,,,,,
EQ0650,"EQUIPO DE OXIACETILENO, CON",HORA,20/09/2021,128.573161,$4.46,$573.44,0.01%
,"MANGUERAS, BOQUILLAS Y",,,,,,
,"MANOMETRO, MARCA AGA MOD.",,,,,,
,LAGA 5 CAPACIDAD 6 M3,,,,,,
RENTA631,RENTA DE BASE 600-0,DIA,03/03/2021,47600.000000,$0.37,"$17,612.00",0.16%
RENTA632,RENTA DE MARCO 182-0,DIA,03/03/2021,23800.000000,$2.15,"$51,170.00",0.47%
RENTA633,RENTA DE MARCO 162-0,DIA,03/03/2021,23800.000000,$1.64,"$39,032.00",0.35%
RENTA634,RENTA DE PERNO DE AJUSTE,DIA,03/03/2021,47600.000000,$0.37,"$17,612.00",0.16%
,406-0,,,,,,
RENTA635,RENTA DE TORNILLO CON,DIA,03/03/2021,23800.000000,$1.35,"$32,130.00",0.29%
,CABEZAL 353-0,,,,,,
RENTA636,RENTA DE CRUCETA 255-05,DIA,03/03/2021,23800.000000,$0.43,"$10,234.00",0.09%
RENTA637,RENTA DE CRUCETA 255-07,DIA,03/03/2021,47600.000000,$0.43,"$20,468.00",0.19%
RENTA638,RENTA DE VIGA ALTA,DIA,03/03/2021,23800.000000,$1.27,"$30,226.00",0.27%
,RESISTENCIA 6220-04 1.22 M.,,,,,,
RENTA639,RENTA DE VIGA ALTA,DIA,03/03/2021,23800.000000,$1.61,"$38,318.00",0.35%
,RESISTENCIA 6220-08 2.44 M.,,,,,,
,TOTAL EQUIPO Y,,,,,"$578,230.88",
,HERRAMIENTA,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,"$10,996,703.92",
